	Unnamed: 0	date	well_id	variant_id	bhp	prod_w	prod_o	prod_g	prod	sat	wf
51385	0	31	0	43	30.0	1.6622649325006118	16.990212876049508	7.38839767088297e-12	18.65247780855012	0.0891176469722776	0.8150000000000001
51386	1	59	0	43	30.0	1.60871492483221	16.3946891614319	6.350000106162884e-12	18.00340408626411	0.0893561527100086	0.8150000000000001
51387	2	90	0	43	30.0	1.5953479651061138	16.15318779624417	5.505305499681625e-12	17.748535761350283	0.0898861735163634	0.815
51388	3	120	0	43	30.0	1.5923379234783053	16.018058960736276	4.359008413893664e-12	17.61039688421458	0.0904203314637177	0.815
51389	4	151	0	43	30.0	1.5942150935592034	15.929959612100989	4.14785552947989e-12	17.524174705660194	0.0909723350934342	0.815
51390	5	181	0	43	30.0	1.5984078626398095	15.87004719055454	4.126861301641583e-12	17.46845505319435	0.0915025317220321	0.815
51391	6	212	0	43	30.0	1.6041502516597492	15.823317164784298	4.109763857007185e-12	17.427467416444046	0.0920472386105924	0.815
51392	7	243	0	43	30.0	1.6107752993055051	15.785833838208251	4.095420401360795e-12	17.396609137513757	0.0925913369998097	0.815
51393	8	273	0	43	30.0	1.6176602173134624	15.754215096728103	4.082945030753505e-12	17.371875314041567	0.0931194927473327	0.815
51394	9	304	0	43	30.0	1.625088145866724	15.723979945581624	4.0707869914108576e-12	17.34906809144835	0.0936700540513618	0.815
51395	10	334	0	43	30.0	1.6325327182137792	15.695972738627248	5.917460966467971e-11	17.328505456841025	0.0942108205626747	0.815
51396	11	365	0	43	30.0	1.640486924784417	15.667502021488428	5.5576506547466157e-11	17.307988946272843	0.0947820645065575	0.815
51397	12	396	0	43	30.0	1.6487804223085865	15.639220097873247	5.3546595652482036e-11	17.288000520181832	0.0953713774119695	0.815
51398	13	424	0	43	30.0	1.6579804687331243	15.613448580062188	5.164855130859853e-11	17.271429048795312	0.0959955579847499	0.8150000000000001
51399	14	455	0	43	30.0	1.6705859042027835	15.58455922317834	4.892603194095681e-11	17.255145127381123	0.0968166823211375	0.815
51400	15	485	0	43	30.0	1.6844633688215898	15.556275123283886	4.703020587714796e-11	17.240738492105475	0.0977025067454566	0.815
51401	16	516	0	43	30.0	1.699804444294148	15.526749217778749	4.6028731619032786e-11	17.226553662072895	0.0986735058932041	0.815
51402	17	546	0	43	30.0	1.7164730846631078	15.498153280504134	4.6680364228573705e-11	17.21462636516724	0.0997101562504015	0.815
51403	18	577	0	43	30.0	1.734159991755956	15.468539802999135	4.580580366097994e-11	17.20269979475509	0.1008074321150847	0.815
51404	19	608	0	43	30.0	1.7529674846738843	15.439448939300888	4.508079473538968e-11	17.192416423974773	0.1019616696946321	0.815
51405	20	638	0	43	30.0	1.770944014851785	15.411698281606688	4.4271624026303406e-11	17.18264229645847	0.1030658721922411	0.815
51406	21	669	0	43	30.0	1.7894900195401358	15.384078009094257	4.317877316466937e-11	17.173568028634392	0.1042002463644377	0.815
51407	22	699	0	43	30.0	1.807599258462299	15.358515365294831	4.0920359293484037e-11	17.16611462375713	0.1053004304165989	0.815
51408	23	730	0	43	30.0	1.826594478867153	15.332777756015917	3.91263348484117e-11	17.15937223488307	0.1064487939223028	0.815
51409	24	761	0	43	30.0	1.8459511892196192	15.308129085164596	7.672527147805767e-11	17.154080274384217	0.1076100356121181	0.815
51410	25	790	0	43	30.0	1.8645067547291383	15.2850472832408	7.506827051118444e-11	17.14955403796994	0.1087204221521463	0.815
51411	26	821	0	43	30.0	1.884973118311964	15.260281609943496	7.27942602049792e-11	17.14525472825546	0.1099413889258536	0.815
51412	27	851	0	43	30.0	1.905410622547044	15.236495890146871	7.303136270694566e-11	17.141906512693915	0.1111551169139821	0.815
51413	28	882	0	43	30.0	1.9272122944328696	15.21075818730533	7.345033060142874e-11	17.1379704817382	0.1124527724263768	0.815
51414	29	912	0	43	30.0	1.9488774849945576	15.18486730911544	7.231634535810968e-11	17.133744794109997	0.1137449815211742	0.815
51415	30	943	0	43	30.0	1.971776391474815	15.157077710439262	7.359085270366292e-11	17.128854101914076	0.1151143199505959	0.815
51416	31	974	0	43	30.0	1.9951076193760613	15.12827951156435	7.256422524322055e-11	17.12338713094041	0.1165136082084532	0.815
51417	32	1004	0	43	30.0	2.018014166900936	15.09949281620613	7.214678643102223e-11	17.117506983107067	0.1178918267065686	0.815
51418	33	1035	0	43	30.0	2.0419679263939603	15.06892321888394	7.175492446237959e-11	17.1108911452779	0.1193373220048497	0.815
51419	34	1065	0	43	30.0	2.0653516905723035	15.038603276949058	7.135861285502212e-11	17.10395496752136	0.1207528723324045	0.815
51420	35	1096	0	43	30.0	2.089783654620608	15.0065090915686	7.164326483804255e-11	17.096292746189206	0.1222360710386422	0.815
51421	36	1127	0	43	30.0	2.115161989981192	14.97305665293316	7.090693440232721e-11	17.088218642914352	0.123778963400509	0.815
51422	37	1155	0	43	30.0	2.1392439136047297	14.941455092905352	7.091475565721335e-11	17.08069900651008	0.1252433470544376	0.8150000000000001
51423	38	1186	0	43	30.0	2.1669764977049693	14.905118393309452	7.186962115275807e-11	17.072094891014423	0.1269309075153698	0.815
51424	39	1216	0	43	30.0	2.1945835444709925	14.869050108532631	7.216359851726894e-11	17.063633653003624	0.1286117358763554	0.815
51425	40	1247	0	43	30.0	2.2240323397386725	14.831016645574856	6.961383704348759e-11	17.05504898531353	0.1304031634065569	0.815
